X,Y,Theta,time
0.1434258,0.2291730,2.0294689,3.2200000
0.1429830,0.2300697,2.0357520,3.2300000
0.1425346,0.2309635,2.0420352,3.2400000
0.1420806,0.2318545,2.0483184,3.2500000
0.1416211,0.2327427,2.0546016,3.2600000
0.1411559,0.2336279,2.0608848,3.2700000
0.1406852,0.2345102,2.0671680,3.2800000
0.1402090,0.2353895,2.0734512,3.2900000
0.1397272,0.2362658,2.0797343,3.3000000
0.1392400,0.2371391,2.0860175,3.3100000
0.1387472,0.2380092,2.0923007,3.3200000
0.1382490,0.2388763,2.0985839,3.3300000
0.1377454,0.2397402,2.1048671,3.3400000
0.1372364,0.2406010,2.1111503,3.3500000
0.1367219,0.2414585,2.1174334,3.3600000
0.1362021,0.2423128,2.1237166,3.3700000
0.1356769,0.2431638,2.1299998,3.3800000
0.1351464,0.2440115,2.1362830,3.3900000
0.1346106,0.2448558,2.1425662,3.4000000
0.1340695,0.2456967,2.1488494,3.4100000
0.1335231,0.2465343,2.1551326,3.4200000
0.1329714,0.2473683,2.1614157,3.4300000
0.1324146,0.2481989,2.1676989,3.4400000
0.1318525,0.2490260,2.1739821,3.4500000
0.1312852,0.2498495,2.1802653,3.4600000
0.1307128,0.2506695,2.1865485,3.4700000
0.1301352,0.2514858,2.1928317,3.4800000
0.1295525,0.2522985,2.1991149,3.4900000
0.1289647,0.2531075,2.2053980,3.5000000
0.1283719,0.2539129,2.2116812,3.5100000
0.1277740,0.2547144,2.2179644,3.5200000
0.1271710,0.2555122,2.2242476,3.5300000
0.1265631,0.2563062,2.2305308,3.5400000
0.1259502,0.2570964,2.2368140,3.5500000
0.1253323,0.2578827,2.2430972,3.5600000
0.1247096,0.2586650,2.2493803,3.5700000
0.1240819,0.2594435,2.2556635,3.5800000
0.1234493,0.2602180,2.2619467,3.5900000
0.1228119,0.2609885,2.2682299,3.6000000
0.1221696,0.2617550,2.2745131,3.6100000
0.1215226,0.2625175,2.2807963,3.6200000
0.1208707,0.2632758,2.2870795,3.6300000
0.1202141,0.2640301,2.2933626,3.6400000
0.1195528,0.2647802,2.2996458,3.6500000
0.1188868,0.2655261,2.3059290,3.6600000
0.1182161,0.2662679,2.3122122,3.6700000
0.1175408,0.2670054,2.3184954,3.6800000
0.1168609,0.2677386,2.3247786,3.6900000
0.1161763,0.2684676,2.3310617,3.7000000
0.1154872,0.2691923,2.3373449,3.7100000
0.1147935,0.2699126,2.3436281,3.7200000
0.1140954,0.2706285,2.3499113,3.7300000
0.1133927,0.2713400,2.3561945,3.7400000
0.1126856,0.2720471,2.3624777,3.7500000
0.1119741,0.2727498,2.3687609,3.7600000
0.1112581,0.2734480,2.3750440,3.7700000
0.1105378,0.2741416,2.3813272,3.7800000
0.1098132,0.2748307,2.3876104,3.7900000
0.1090842,0.2755153,2.3938936,3.8000000
0.1083510,0.2761952,2.4001768,3.8100000
0.1076134,0.2768706,2.4064600,3.8200000
0.1068717,0.2775412,2.4127432,3.8300000
0.1061258,0.2782073,2.4190263,3.8400000
0.1053757,0.2788686,2.4253095,3.8500000
0.1046214,0.2795252,2.4315927,3.8600000
0.1038630,0.2801770,2.4378759,3.8700000
0.1031006,0.2808240,2.4441591,3.8800000
0.1023341,0.2814663,2.4504423,3.8900000
0.1015636,0.2821037,2.4567255,3.9000000
0.1007891,0.2827363,2.4630086,3.9100000
0.1000106,0.2833640,2.4692918,3.9200000
0.0992282,0.2839868,2.4755750,3.9300000
0.0984419,0.2846046,2.4818582,3.9400000
0.0976518,0.2852175,2.4881414,3.9500000
0.0968578,0.2858255,2.4944246,3.9600000
0.0960600,0.2864284,2.5007078,3.9700000
